what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1410383633795
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1410383633951
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1410383634013
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1410383634075
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1410383634153
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1410383634293
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1410383634293
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1410383634402
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1410383634449
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1410383634729
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1410383634854
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1410383635025
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1410383635119
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1410383635352
os,sysinfo,,,"win32",1410383635352
arch,sysinfo,,,"x86",1410383635352
ws,sysinfo,,,"win32",1410383635352
locale,sysinfo,,,"pt_BR",1410383635352
processors,sysinfo,,,"2",1410383635352
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1410383635352
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1410383635352
java.specification.name,sysinfo,,,"Java Platform API Specification",1410383635352
java.specification.vendor,sysinfo,,,"Oracle Corporation",1410383635352
java.specification.version,sysinfo,,,"1.7",1410383635352
java.vendor,sysinfo,,,"Oracle Corporation",1410383635352
